"Country","Year","US100","UC1000","US100.lin_inter","US100.cst_inter","UC1000.lin_inter","UC1000.cst_inter"
"Australia",1970,NA,NA,NA,NA,NA,NA
"Australia",1971,0.149,0.255,0.149,0.149,0.255,0.255
"Australia",1972,0.233,0.336,0.233,0.233,0.336,0.336
"Australia",1973,0.268,0.575,0.268,0.268,0.575,0.575
"Australia",1974,0.266,0.518,0.266,0.266,0.518,0.518
"Australia",1975,0.261,0.505,0.261,0.261,0.505,0.505
"Australia",1976,0.289,0.627,0.289,0.289,0.627,0.627
"Australia",1977,0.309,0.642,0.309,0.309,0.642,0.642
"Australia",1978,0.305,0.625,0.305,0.305,0.625,0.625
"Australia",1979,0.296,0.616,0.296,0.296,0.616,0.616
"Australia",1980,0.25,0.536,0.25,0.25,0.536,0.536
"Australia",1981,0.234,0.536,0.234,0.234,0.536,0.536
"Australia",1982,0.224,0.506,0.224,0.224,0.506,0.506
"Australia",1983,0.246,0.535,0.246,0.246,0.535,0.535
"Australia",1984,0.262,0.58,0.262,0.262,0.58,0.58
"Australia",1985,0.261,0.588,0.261,0.261,0.588,0.588
"Australia",1986,0.29,0.626,0.29,0.29,0.626,0.626
"Australia",1987,0.298,0.641,0.298,0.298,0.641,0.641
"Australia",1988,0.302,0.67,0.302,0.302,0.67,0.67
"Australia",1989,0.29,0.641,0.29,0.29,0.641,0.641
"Australia",1990,0.301,0.661,0.301,0.301,0.661,0.661
"Australia",1991,0.31,0.695,0.31,0.31,0.695,0.695
"Australia",1992,0.322,0.721,0.322,0.322,0.721,0.721
"Australia",1993,0.309,0.7,0.309,0.309,0.7,0.7
"Australia",1994,0.299,0.682,0.299,0.299,0.682,0.682
"Australia",1995,0.297,0.675,0.297,0.297,0.675,0.675
"Australia",1996,0.309,0.694,0.309,0.309,0.694,0.694
"Australia",1997,0.3,0.679,0.3,0.3,0.679,0.679
"Australia",1998,0.289,0.656,0.289,0.289,0.656,0.656
"Australia",1999,0.287,0.654,0.287,0.287,0.654,0.654
"Australia",2000,0.275,0.651,0.275,0.275,0.651,0.651
"Australia",2001,0.274,0.665,0.274,0.274,0.665,0.665
"Australia",2002,0.26,0.637,0.26,0.26,0.637,0.637
"Australia",2003,0.256,0.628,0.256,0.256,0.628,0.628
"Australia",2004,0.26,0.561,0.26,0.26,0.561,0.561
"Australia",2005,0.254,0.608,0.254,0.254,0.608,0.608
"Australia",2006,0.251,0.6,0.251,0.251,0.6,0.6
"Australia",2007,0.247,0.537,0.247,0.247,0.537,0.537
"Australia",2008,0.239,0.524,0.239,0.239,0.524,0.524
"Australia",2009,0.234,0.515,0.234,0.234,0.515,0.515
"Australia",2010,0.228,0.501,0.228,0.228,0.501,0.501
"Australia",2011,0.224,0.533,0.224,0.224,0.533,0.533
"Austria",1970,0.397,0.484,0.397,0.397,0.484,0.484
"Austria",1971,0.491,0.554,0.491,0.491,0.554,0.554
"Austria",1972,0.439,0.499,0.439,0.439,0.499,0.499
"Austria",1973,0.38,0.444,0.38,0.38,0.444,0.444
"Austria",1974,0.463,0.532,0.463,0.463,0.532,0.532
"Austria",1975,0.4,0.477,0.4,0.4,0.477,0.477
"Austria",1976,0.357,0.442,0.357,0.357,0.442,0.442
"Austria",1977,0.445,0.503,0.445,0.445,0.503,0.503
"Austria",1978,0.538,0.605,0.538,0.538,0.605,0.605
"Austria",1979,0.541,0.661,0.541,0.541,0.661,0.661
"Austria",1980,0.548,0.665,0.548,0.548,0.665,0.665
"Austria",1981,0.55,0.669,0.55,0.55,0.669,0.669
"Austria",1982,0.547,0.668,0.547,0.547,0.668,0.668
"Austria",1983,0.539,0.659,0.539,0.539,0.659,0.659
"Austria",1984,0.552,0.68,0.552,0.552,0.68,0.68
"Austria",1985,0.555,0.686,0.555,0.555,0.686,0.686
"Austria",1986,0.563,0.69,0.563,0.563,0.69,0.69
"Austria",1987,0.553,0.68,0.553,0.553,0.68,0.68
"Austria",1988,0.554,0.679,0.554,0.554,0.679,0.679
"Austria",1989,0.54,0.653,0.54,0.54,0.653,0.653
"Austria",1990,0.539,0.652,0.539,0.539,0.652,0.652
"Austria",1991,0.561,0.673,0.561,0.561,0.673,0.673
"Austria",1992,0.566,0.678,0.566,0.566,0.678,0.678
"Austria",1993,0.568,0.661,0.568,0.568,0.661,0.661
"Austria",1994,0.552,0.639,0.552,0.552,0.639,0.639
"Austria",1995,0.563,0.646,0.563,0.563,0.646,0.646
"Austria",1996,0.555,0.639,0.555,0.555,0.639,0.639
"Austria",1997,0.556,0.64,0.556,0.556,0.64,0.64
"Austria",1998,0.556,0.64,0.556,0.556,0.64,0.64
"Austria",1999,0.559,0.639,0.559,0.559,0.639,0.639
"Austria",2000,0.547,0.681,0.547,0.547,0.681,0.681
"Austria",2001,0.55,0.743,0.55,0.55,0.743,0.743
"Austria",2002,0.55,0.741,0.55,0.55,0.741,0.741
"Austria",2003,0.55,0.745,0.55,0.55,0.745,0.745
"Austria",2004,0.55,0.739,0.55,0.55,0.739,0.739
"Austria",2005,0.55,0.733,0.55,0.55,0.733,0.733
"Austria",2006,0.55,0.73,0.55,0.55,0.73,0.73
"Austria",2007,0.55,0.726,0.55,0.55,0.726,0.726
"Austria",2008,0.55,0.723,0.55,0.55,0.723,0.723
"Austria",2009,0.55,0.731,0.55,0.55,0.731,0.731
"Austria",2010,0.55,0.729,0.55,0.55,0.729,0.729
"Austria",2011,0.55,0.726,0.55,0.55,0.726,0.726
"Belgium",1970,NA,NA,NA,NA,NA,NA
"Belgium",1971,NA,NA,NA,NA,NA,NA
"Belgium",1972,NA,NA,NA,NA,NA,NA
"Belgium",1973,NA,NA,NA,NA,NA,NA
"Belgium",1974,0.584,0.58,0.584,0.584,0.58,0.58
"Belgium",1975,0.595,0.59,0.595,0.595,0.59,0.59
"Belgium",1976,0.598,0.593,0.598,0.598,0.593,0.593
"Belgium",1977,NA,NA,0.606285714285714,0.598,0.614571428571429,0.593
"Belgium",1978,NA,NA,0.614571428571429,0.598,0.636142857142857,0.593
"Belgium",1979,NA,NA,0.622857142857143,0.598,0.657714285714286,0.593
"Belgium",1980,NA,NA,0.631142857142857,0.598,0.679285714285714,0.593
"Belgium",1981,NA,NA,0.639428571428571,0.598,0.700857142857143,0.593
"Belgium",1982,NA,NA,0.647714285714286,0.598,0.722428571428571,0.593
"Belgium",1983,0.656,0.744,0.656,0.656,0.744,0.744
"Belgium",1984,0.668,0.751,0.668,0.668,0.751,0.751
"Belgium",1985,0.683,0.75,0.683,0.683,0.75,0.75
"Belgium",1986,0.7,0.753,0.7,0.7,0.753,0.753
"Belgium",1987,0.689,0.759,0.689,0.689,0.759,0.759
"Belgium",1988,0.673,0.761,0.673,0.673,0.761,0.761
"Belgium",1989,0.653,0.753,0.653,0.653,0.753,0.753
"Belgium",1990,0.65,0.743,0.65,0.65,0.743,0.743
"Belgium",1991,0.644,0.732,0.644,0.644,0.732,0.732
"Belgium",1992,0.636,0.725,0.636,0.636,0.725,0.725
"Belgium",1993,0.65,0.738,0.65,0.65,0.738,0.738
"Belgium",1994,0.651,0.731,0.651,0.651,0.731,0.731
"Belgium",1995,0.649,0.725,0.649,0.649,0.725,0.725
"Belgium",1996,0.655,0.73,0.655,0.655,0.73,0.73
"Belgium",1997,0.648,0.724,0.648,0.648,0.724,0.724
"Belgium",1998,0.643,0.721,0.643,0.643,0.721,0.721
"Belgium",1999,0.632,0.719,0.632,0.632,0.719,0.719
"Belgium",2000,0.629,0.713,0.629,0.629,0.713,0.713
"Belgium",2001,0.618,0.745,0.618,0.618,0.745,0.745
"Belgium",2002,0.644,0.728,0.644,0.644,0.728,0.728
"Belgium",2003,0.634,0.719,0.634,0.634,0.719,0.719
"Belgium",2004,0.625,0.705,0.625,0.625,0.705,0.705
"Belgium",2005,0.622,0.699,0.622,0.622,0.699,0.699
"Belgium",2006,0.617,0.684,0.617,0.617,0.684,0.684
"Belgium",2007,0.613,0.678,0.613,0.613,0.678,0.678
"Belgium",2008,0.606,0.683,0.606,0.606,0.683,0.683
"Belgium",2009,0.619,0.682,0.619,0.619,0.682,0.682
"Belgium",2010,0.673,0.736,0.673,0.673,0.736,0.736
"Belgium",2011,0.668,0.731,0.668,0.668,0.731,0.731
"Canada",1970,NA,NA,NA,NA,NA,NA
"Canada",1971,NA,NA,NA,NA,NA,NA
"Canada",1972,0.686,0.703,0.686,0.686,0.703,0.703
"Canada",1973,0.69,0.709,0.69,0.69,0.709,0.709
"Canada",1974,0.666,0.688,0.666,0.666,0.688,0.688
"Canada",1975,0.641,0.664,0.641,0.641,0.664,0.664
"Canada",1976,0.638,0.671,0.638,0.638,0.671,0.671
"Canada",1977,0.633,0.661,0.633,0.633,0.661,0.661
"Canada",1978,0.643,0.674,0.643,0.643,0.674,0.674
"Canada",1979,0.591,0.613,0.591,0.591,0.613,0.613
"Canada",1980,0.582,0.612,0.582,0.582,0.612,0.612
"Canada",1981,0.587,0.602,0.587,0.587,0.602,0.602
"Canada",1982,0.587,0.588,0.587,0.587,0.588,0.588
"Canada",1983,0.622,0.634,0.622,0.622,0.634,0.634
"Canada",1984,0.641,0.66,0.641,0.641,0.66,0.66
"Canada",1985,0.644,0.673,0.644,0.644,0.673,0.673
"Canada",1986,0.643,0.678,0.643,0.643,0.678,0.678
"Canada",1987,0.644,0.682,0.644,0.644,0.682,0.682
"Canada",1988,0.639,0.657,0.639,0.639,0.657,0.657
"Canada",1989,0.638,0.662,0.638,0.638,0.662,0.662
"Canada",1990,0.638,0.666,0.638,0.638,0.666,0.666
"Canada",1991,0.638,0.67,0.638,0.638,0.67,0.67
"Canada",1992,0.629,0.66,0.629,0.629,0.66,0.66
"Canada",1993,0.63,0.651,0.63,0.63,0.651,0.651
"Canada",1994,0.604,0.628,0.604,0.604,0.628,0.628
"Canada",1995,0.605,0.628,0.605,0.605,0.628,0.628
"Canada",1996,0.607,0.666,0.607,0.607,0.666,0.666
"Canada",1997,0.598,0.658,0.598,0.598,0.658,0.658
"Canada",1998,0.601,0.66,0.601,0.601,0.66,0.66
"Canada",1999,0.606,0.663,0.606,0.606,0.663,0.663
"Canada",2000,0.598,0.652,0.598,0.598,0.652,0.652
"Canada",2001,0.592,0.647,0.592,0.592,0.647,0.647
"Canada",2002,0.592,0.642,0.592,0.592,0.642,0.642
"Canada",2003,0.589,0.637,0.589,0.589,0.637,0.637
"Canada",2004,0.579,0.63,0.579,0.579,0.63,0.63
"Canada",2005,0.568,0.617,0.568,0.568,0.617,0.617
"Canada",2006,0.558,0.608,0.558,0.558,0.608,0.608
"Canada",2007,0.56,0.611,0.56,0.56,0.611,0.611
"Canada",2008,0.559,0.607,0.559,0.559,0.607,0.607
"Canada",2009,0.568,0.615,0.568,0.568,0.615,0.615
"Canada",2010,0.558,0.607,0.558,0.558,0.607,0.607
"Canada",2011,0.554,0.605,0.554,0.554,0.605,0.605
"Denmark",1970,NA,NA,NA,NA,NA,NA
"Denmark",1971,0.863,0.898,0.863,0.863,0.898,0.898
"Denmark",1972,0.906,0.95,0.906,0.906,0.95,0.95
"Denmark",1973,0.857,0.908,0.857,0.857,0.908,0.908
"Denmark",1974,0.849,0.896,0.849,0.849,0.896,0.896
"Denmark",1975,0.845,0.884,0.845,0.845,0.884,0.884
"Denmark",1976,0.818,0.839,0.818,0.818,0.839,0.839
"Denmark",1977,0.836,0.855,0.836,0.836,0.855,0.855
"Denmark",1978,0.812,0.839,0.812,0.812,0.839,0.839
"Denmark",1979,0.799,0.827,0.799,0.799,0.827,0.827
"Denmark",1980,0.79,0.818,0.79,0.79,0.818,0.818
"Denmark",1981,0.784,0.813,0.784,0.784,0.813,0.813
"Denmark",1982,0.823,0.838,0.823,0.823,0.838,0.838
"Denmark",1983,0.792,0.852,0.792,0.792,0.852,0.852
"Denmark",1984,0.754,0.795,0.754,0.754,0.795,0.795
"Denmark",1985,0.736,0.779,0.736,0.736,0.779,0.779
"Denmark",1986,0.723,0.767,0.723,0.723,0.767,0.767
"Denmark",1987,0.645,0.688,0.645,0.645,0.688,0.688
"Denmark",1988,0.64,0.691,0.64,0.64,0.691,0.691
"Denmark",1989,0.682,0.727,0.682,0.682,0.727,0.727
"Denmark",1990,0.68,0.728,0.68,0.68,0.728,0.728
"Denmark",1991,0.673,0.722,0.673,0.673,0.722,0.722
"Denmark",1992,0.666,0.723,0.666,0.666,0.723,0.723
"Denmark",1993,0.662,0.717,0.662,0.662,0.717,0.717
"Denmark",1994,0.682,0.723,0.682,0.682,0.723,0.723
"Denmark",1995,0.647,0.69,0.647,0.647,0.69,0.69
"Denmark",1996,0.638,0.683,0.638,0.638,0.683,0.683
"Denmark",1997,0.631,0.672,0.631,0.631,0.672,0.672
"Denmark",1998,0.617,0.656,0.617,0.617,0.656,0.656
"Denmark",1999,0.616,0.66,0.616,0.616,0.66,0.66
"Denmark",2000,0.608,0.655,0.608,0.608,0.655,0.655
"Denmark",2001,0.606,0.654,0.606,0.606,0.654,0.654
"Denmark",2002,0.596,0.646,0.596,0.596,0.646,0.646
"Denmark",2003,0.588,0.634,0.588,0.588,0.634,0.634
"Denmark",2004,0.582,0.635,0.582,0.582,0.635,0.635
"Denmark",2005,0.576,0.632,0.576,0.576,0.632,0.632
"Denmark",2006,0.57,0.625,0.57,0.57,0.625,0.625
"Denmark",2007,0.521,0.561,0.521,0.521,0.561,0.561
"Denmark",2008,0.493,0.521,0.493,0.493,0.521,0.521
"Denmark",2009,0.476,0.51,0.476,0.476,0.51,0.51
"Denmark",2010,0.564,0.588,0.564,0.564,0.588,0.588
"Denmark",2011,0.562,0.586,0.562,0.562,0.586,0.586
"Finland",1970,NA,NA,NA,NA,NA,NA
"Finland",1971,0.403,0.483,0.403,0.403,0.483,0.483
"Finland",1972,0.546,0.853,0.546,0.546,0.853,0.853
"Finland",1973,0.485,0.761,0.485,0.485,0.761,0.761
"Finland",1974,0.502,0.638,0.502,0.502,0.638,0.638
"Finland",1975,0.418,0.509,0.418,0.418,0.509,0.509
"Finland",1976,0.476,0.615,0.476,0.476,0.615,0.615
"Finland",1977,0.43,0.579,0.43,0.43,0.579,0.579
"Finland",1978,0.396,0.539,0.396,0.396,0.539,0.539
"Finland",1979,0.367,0.503,0.367,0.367,0.503,0.503
"Finland",1980,0.344,0.479,0.344,0.344,0.479,0.479
"Finland",1981,0.33,0.496,0.33,0.33,0.496,0.496
"Finland",1982,0.328,0.494,0.328,0.328,0.494,0.494
"Finland",1983,0.342,0.54,0.342,0.342,0.54,0.54
"Finland",1984,0.315,0.504,0.315,0.315,0.504,0.504
"Finland",1985,0.587,0.636,0.587,0.587,0.636,0.636
"Finland",1986,0.582,0.626,0.582,0.582,0.626,0.626
"Finland",1987,0.58,0.623,0.58,0.58,0.623,0.623
"Finland",1988,0.579,0.622,0.579,0.579,0.622,0.622
"Finland",1989,0.636,0.664,0.636,0.636,0.664,0.664
"Finland",1990,0.627,0.662,0.627,0.627,0.662,0.662
"Finland",1991,0.647,0.685,0.647,0.647,0.685,0.685
"Finland",1992,0.658,0.684,0.658,0.658,0.684,0.684
"Finland",1993,0.657,0.706,0.657,0.657,0.706,0.706
"Finland",1994,0.665,0.783,0.665,0.665,0.783,0.783
"Finland",1995,0.638,0.748,0.638,0.638,0.748,0.748
"Finland",1996,0.626,0.734,0.626,0.626,0.734,0.734
"Finland",1997,0.614,0.721,0.614,0.614,0.721,0.721
"Finland",1998,0.615,0.723,0.615,0.615,0.723,0.723
"Finland",1999,0.598,0.703,0.598,0.598,0.703,0.703
"Finland",2000,0.584,0.687,0.584,0.584,0.687,0.687
"Finland",2001,0.578,0.679,0.578,0.578,0.679,0.679
"Finland",2002,0.579,0.678,0.579,0.579,0.678,0.678
"Finland",2003,0.591,0.684,0.591,0.591,0.684,0.684
"Finland",2004,0.59,0.683,0.59,0.59,0.683,0.683
"Finland",2005,0.578,0.67,0.578,0.578,0.67,0.67
"Finland",2006,0.571,0.664,0.571,0.571,0.664,0.664
"Finland",2007,0.558,0.651,0.558,0.558,0.651,0.651
"Finland",2008,0.534,0.625,0.534,0.534,0.625,0.625
"Finland",2009,0.537,0.628,0.537,0.537,0.628,0.628
"Finland",2010,0.565,0.651,0.565,0.565,0.651,0.651
"Finland",2011,0.563,0.649,0.563,0.563,0.649,0.649
"France",1970,NA,NA,NA,NA,NA,NA
"France",1971,NA,NA,NA,NA,NA,NA
"France",1972,NA,NA,NA,NA,NA,NA
"France",1973,NA,NA,NA,NA,NA,NA
"France",1974,NA,NA,NA,NA,NA,NA
"France",1975,0.611,0.635,0.611,0.611,0.635,0.635
"France",1976,0.592,0.593,0.592,0.592,0.593,0.593
"France",1977,NA,NA,0.603833333333333,0.592,0.609,0.593
"France",1978,NA,NA,0.615666666666667,0.592,0.625,0.593
"France",1979,NA,NA,0.6275,0.592,0.641,0.593
"France",1980,NA,NA,0.639333333333333,0.592,0.657,0.593
"France",1981,NA,NA,0.651166666666667,0.592,0.673,0.593
"France",1982,0.663,0.689,0.663,0.663,0.689,0.689
"France",1983,0.66,0.689,0.66,0.66,0.689,0.689
"France",1984,NA,NA,0.691,0.66,0.706,0.689
"France",1985,0.722,0.723,0.722,0.722,0.723,0.723
"France",1986,NA,NA,0.7345,0.722,0.733,0.723
"France",1987,0.747,0.743,0.747,0.747,0.743,0.743
"France",1988,0.741,0.737,0.741,0.741,0.737,0.737
"France",1989,0.743,0.739,0.743,0.743,0.739,0.739
"France",1990,NA,NA,0.734,0.743,0.73,0.739
"France",1991,0.725,0.721,0.725,0.725,0.721,0.721
"France",1992,0.726,0.722,0.726,0.726,0.722,0.722
"France",1993,0.73,0.727,0.73,0.73,0.727,0.727
"France",1994,0.733,0.724,0.733,0.733,0.724,0.724
"France",1995,0.74,0.73,0.74,0.74,0.73,0.73
"France",1996,0.743,0.732,0.743,0.743,0.732,0.732
"France",1997,0.725,0.715,0.725,0.725,0.715,0.715
"France",1998,0.697,0.687,0.697,0.697,0.687,0.687
"France",1999,0.696,0.686,0.696,0.696,0.686,0.686
"France",2000,0.701,0.694,0.701,0.701,0.694,0.694
"France",2001,0.688,0.694,0.688,0.688,0.694,0.694
"France",2002,0.696,0.7,0.696,0.696,0.7,0.7
"France",2003,0.708,0.704,0.708,0.708,0.704,0.704
"France",2004,0.706,0.704,0.706,0.706,0.704,0.704
"France",2005,0.704,0.702,0.704,0.704,0.702,0.702
"France",2006,0.715,0.702,0.715,0.715,0.702,0.702
"France",2007,0.708,0.697,0.708,0.708,0.697,0.697
"France",2008,0.707,0.696,0.707,0.707,0.696,0.696
"France",2009,0.708,0.694,0.708,0.708,0.694,0.694
"France",2010,0.708,0.697,0.708,0.708,0.697,0.697
"France",2011,0.706,0.696,0.706,0.706,0.696,0.696
"Germany",1970,NA,NA,NA,NA,NA,NA
"Germany",1971,0.625,0.634,0.625,0.625,0.634,0.634
"Germany",1972,0.625,0.633,0.625,0.625,0.633,0.633
"Germany",1973,0.625,0.632,0.625,0.625,0.632,0.632
"Germany",1974,0.625,0.658,0.625,0.625,0.658,0.658
"Germany",1975,0.68,0.705,0.68,0.68,0.705,0.705
"Germany",1976,0.68,0.703,0.68,0.68,0.703,0.703
"Germany",1977,0.68,0.702,0.68,0.68,0.702,0.702
"Germany",1978,0.68,0.702,0.68,0.68,0.702,0.702
"Germany",1979,0.68,0.703,0.68,0.68,0.703,0.703
"Germany",1980,0.68,0.703,0.68,0.68,0.703,0.703
"Germany",1981,0.68,0.702,0.68,0.68,0.702,0.702
"Germany",1982,0.68,0.701,0.68,0.68,0.701,0.701
"Germany",1983,0.68,0.7,0.68,0.68,0.7,0.7
"Germany",1984,0.63,0.7,0.63,0.63,0.7,0.7
"Germany",1985,0.63,0.7,0.63,0.63,0.7,0.7
"Germany",1986,0.63,0.699,0.63,0.63,0.699,0.699
"Germany",1987,0.63,0.698,0.63,0.63,0.698,0.698
"Germany",1988,0.63,0.698,0.63,0.63,0.698,0.698
"Germany",1989,0.63,0.697,0.63,0.63,0.697,0.697
"Germany",1990,0.63,0.698,0.63,0.63,0.698,0.698
"Germany",1991,0.63,0.699,0.63,0.63,0.699,0.699
"Germany",1992,0.63,0.699,0.63,0.63,0.699,0.699
"Germany",1993,0.63,0.699,0.63,0.63,0.699,0.699
"Germany",1994,0.6,0.689,0.6,0.6,0.689,0.689
"Germany",1995,0.6,0.689,0.6,0.6,0.689,0.689
"Germany",1996,0.6,0.705,0.6,0.6,0.705,0.705
"Germany",1997,0.6,0.709,0.6,0.6,0.709,0.709
"Germany",1998,0.6,0.708,0.6,0.6,0.708,0.708
"Germany",1999,0.6,0.708,0.6,0.6,0.708,0.708
"Germany",2000,0.6,0.713,0.6,0.6,0.713,0.713
"Germany",2001,0.6,0.713,0.6,0.6,0.713,0.713
"Germany",2002,0.6,0.716,0.6,0.6,0.716,0.716
"Germany",2003,0.6,0.715,0.6,0.6,0.715,0.715
"Germany",2004,0.6,0.713,0.6,0.6,0.713,0.713
"Germany",2005,0.6,0.713,0.6,0.6,0.713,0.713
"Germany",2006,0.6,0.713,0.6,0.6,0.713,0.713
"Germany",2007,0.6,0.712,0.6,0.6,0.712,0.712
"Germany",2008,0.6,0.711,0.6,0.6,0.711,0.711
"Germany",2009,0.6,0.713,0.6,0.6,0.713,0.713
"Germany",2010,0.6,0.717,0.6,0.6,0.717,0.717
"Germany",2011,0.6,0.715,0.6,0.6,0.715,0.715
"Ireland",1970,NA,NA,NA,NA,NA,NA
"Ireland",1971,0.244,0.467,0.244,0.244,0.467,0.467
"Ireland",1972,0.24,0.449,0.24,0.24,0.449,0.449
"Ireland",1973,0.235,0.457,0.235,0.235,0.457,0.457
"Ireland",1974,0.469,0.738,0.469,0.469,0.738,0.738
"Ireland",1975,0.514,0.779,0.514,0.514,0.779,0.779
"Ireland",1976,0.495,0.748,0.495,0.495,0.748,0.748
"Ireland",1977,0.447,0.704,0.447,0.447,0.704,0.704
"Ireland",1978,0.425,0.68,0.425,0.425,0.68,0.68
"Ireland",1979,0.598,0.817,0.598,0.598,0.817,0.817
"Ireland",1980,0.588,0.822,0.588,0.588,0.822,0.822
"Ireland",1981,0.539,0.786,0.539,0.539,0.786,0.786
"Ireland",1982,0.598,0.847,0.598,0.598,0.847,0.847
"Ireland",1983,0.481,0.718,0.481,0.481,0.718,0.718
"Ireland",1984,0.475,0.715,0.475,0.475,0.715,0.715
"Ireland",1985,0.486,0.732,0.486,0.486,0.732,0.732
"Ireland",1986,0.462,0.697,0.462,0.462,0.697,0.697
"Ireland",1987,0.387,0.633,0.387,0.387,0.633,0.633
"Ireland",1988,0.37,0.614,0.37,0.37,0.614,0.614
"Ireland",1989,0.36,0.595,0.36,0.36,0.595,0.595
"Ireland",1990,0.352,0.586,0.352,0.352,0.586,0.586
"Ireland",1991,0.35,0.589,0.35,0.35,0.589,0.589
"Ireland",1992,0.338,0.581,0.338,0.338,0.581,0.581
"Ireland",1993,0.337,0.578,0.337,0.337,0.578,0.578
"Ireland",1994,0.338,0.584,0.338,0.338,0.584,0.584
"Ireland",1995,0.354,0.605,0.354,0.354,0.605,0.605
"Ireland",1996,0.305,0.586,0.305,0.305,0.586,0.586
"Ireland",1997,0.304,0.585,0.304,0.304,0.585,0.585
"Ireland",1998,0.298,0.569,0.298,0.298,0.569,0.569
"Ireland",1999,0.299,0.547,0.299,0.299,0.547,0.547
"Ireland",2000,0.277,0.504,0.277,0.277,0.504,0.504
"Ireland",2001,0.286,0.525,0.286,0.286,0.525,0.525
"Ireland",2002,0.292,0.549,0.292,0.292,0.549,0.549
"Ireland",2003,0.288,0.555,0.288,0.288,0.555,0.555
"Ireland",2004,0.305,0.581,0.305,0.305,0.581,0.581
"Ireland",2005,0.311,0.587,0.311,0.311,0.587,0.587
"Ireland",2006,0.337,0.641,0.337,0.337,0.641,0.641
"Ireland",2007,0.369,0.703,0.369,0.369,0.703,0.703
"Ireland",2008,0.38,0.704,0.38,0.38,0.704,0.704
"Ireland",2009,0.392,0.724,0.392,0.392,0.724,0.724
"Ireland",2010,0.394,0.736,0.394,0.394,0.736,0.736
"Ireland",2011,0.37,0.705,0.37,0.37,0.705,0.705
"Italy",1970,NA,NA,NA,NA,NA,NA
"Italy",1971,0.093,0.22,0.093,0.093,0.22,0.22
"Italy",1972,0.083,0.197,0.083,0.083,0.197,0.197
"Italy",1973,0.069,0.17,0.069,0.069,0.17,0.17
"Italy",1974,0.056,0.141,0.056,0.056,0.141,0.141
"Italy",1975,0.105,0.163,0.105,0.105,0.163,0.163
"Italy",1976,0.089,0.159,0.089,0.089,0.159,0.159
"Italy",1977,0.073,0.125,0.073,0.073,0.125,0.125
"Italy",1978,0.065,0.126,0.065,0.065,0.126,0.126
"Italy",1979,0.054,0.111,0.054,0.054,0.111,0.111
"Italy",1980,0.047,0.125,0.047,0.047,0.125,0.125
"Italy",1981,0.037,0.112,0.037,0.037,0.112,0.112
"Italy",1982,0.033,0.101,0.033,0.033,0.101,0.101
"Italy",1983,0.031,0.126,0.031,0.031,0.126,0.126
"Italy",1984,0.029,0.138,0.029,0.029,0.138,0.138
"Italy",1985,0.024,0.145,0.024,0.024,0.145,0.145
"Italy",1986,0.023,0.204,0.023,0.023,0.204,0.204
"Italy",1987,0.021,0.177,0.021,0.021,0.177,0.177
"Italy",1988,0.02,0.156,0.02,0.02,0.156,0.156
"Italy",1989,0.205,0.306,0.205,0.205,0.306,0.306
"Italy",1990,0.2,0.286,0.2,0.2,0.286,0.286
"Italy",1991,0.201,0.282,0.201,0.201,0.282,0.282
